Degree,Branch,Specialization,Type,Course Code,Remarks
B.Tech.,Aerospace Engineering,N/A,Minor,AE 153,AE 153 is compulsory
B.Tech.,Aerospace Engineering,N/A,Minor,AE 223,AE 153 is compulsory
B.Tech.,Aerospace Engineering,N/A,Minor,AE 227,AE 153 is compulsory
B.Tech.,Aerospace Engineering,N/A,Minor,AE 308,AE 153 is compulsory
B.Tech.,Aerospace Engineering,N/A,Minor,AE 339,AE 153 is compulsory
B.Tech.,Aerospace Engineering,N/A,Minor,AE 341,AE 153 is compulsory
B.Tech.,Aerospace Engineering,N/A,Minor,AE 344,AE 153 is compulsory
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 400,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 405,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 411,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 427,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 603,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 610,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 612,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 616,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 618,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 655,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 625,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 600,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 633,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 638,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 681,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 670,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 663,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 521,
B.Tech.,Biosciences and Bioengineering,N/A,Minor,BB 553,
B.Tech.,Centre for Machine Intelligence and Data Science,N/A,Elective,IE 506,CS students must complete 4 to 5 elective courses from this group.
B.Tech.,Centre for Machine Intelligence and Data Science,N/A,Elective,IE 502,CS students must complete 4 to 5 elective courses from this group.
B.Tech.,Centre for Machine Intelligence and Data Science,N/A,Elective,IE 501,CS students must complete 4 to 5 elective courses from this group.
B.Tech.,Centre for Machine Intelligence and Data Science,N/A,Elective,IE 621,CS students must complete 4 to 5 elective courses from this group.
B.Tech.,Centre for Machine Intelligence and Data Science,N/A,Elective,IE 622,CS students must complete 4 to 5 elective courses from this group.
B.Tech.,Centre for Machine Intelligence and Data Science,N/A,Elective,IE 618,CS students must complete 4 to 5 elective courses from this group.
